spatial,plot,cover,yield.2015,
2,409,B,9.12,
3,409,B,9.61,
4,409,B,10.92,
5,409,B,11.52,
6,409,B,11.30,
7,409,B,9.98,
8,409,B,9.12,
9,409,B,9.61,
10,409,B,10.92,
11,409,B,11.52,
12,409,B,11.30,
13,409,C,12.39,
14,409,C,12.48,
15,409,C,13.38,
16,409,C,13.69,
17,409,C,13.60,
18,409,C,12.21,
19,409,C,12.39,
20,409,C,12.48,
21,409,C,13.38,
22,409,C,13.69,
23,409,C,13.60,
24,409,C,12.21,
25,409,R,11.85,
26,409,R,12.92,
27,409,R,13.42,
28,409,R,13.58,
29,409,R,13.83,
30,409,R,13.38,
31,409,R,11.85,
32,409,R,12.92,
33,409,R,13.42,
34,409,R,13.58,
35,409,R,13.83,
36,409,R,13.38,
1,509,R,14.05,
2,509,R,13.91,
3,509,R,14.43,
4,509,R,14.94,
5,509,R,15.25,
6,509,R,13.43,
7,509,R,14.05,
8,509,R,13.91,
9,509,R,14.43,
10,509,R,14.94,
11,509,R,15.25,
12,509,R,13.43,
13,509,C,11.97,
14,509,C,12.46,
15,509,C,11.96,
16,509,C,12.96,
17,509,C,13.52,
18,509,C,12.84,
19,509,C,11.97,
20,509,C,12.46,
21,509,C,11.96,
22,509,C,12.96,
23,509,C,13.52,
24,509,C,12.84,
25,509,B,11.75,
26,509,B,11.36,
27,509,B,11.16,
28,509,B,12.22,
29,509,B,11.35,
30,509,B,11.13,
31,509,B,11.75,
32,509,B,11.36,
33,509,B,11.16,
34,509,B,12.22,
35,509,B,11.35,
36,509,B,11.13,
